resampling_technique;hyperparameters;accuracy;precision;recall;f1-score
RandomOverSampler;{'batch_size': 16, 'bilstm_neuron': 128, 'dropout_rate': 0.4, 'lr': 0.0001, 'neuron': 32, 'optimizer': 'adam'};95.98%;92.78%;99.72%;96.13%
RandomOverSampler;{'batch_size': 16, 'bilstm_neuron': 128, 'dropout_rate': 0.4, 'lr': 0.0001, 'neuron': 64, 'optimizer': 'adam'};95.71%;92.91%;98.96%;95.84%
RandomOverSampler;{'batch_size': 16, 'bilstm_neuron': 128, 'dropout_rate': 0.4, 'lr': 0.0001, 'neuron': 128, 'optimizer': 'adam'};95.67%;93.13%;98.61%;95.80%
RandomOverSampler;{'batch_size': 16, 'bilstm_neuron': 128, 'dropout_rate': 0.5, 'lr': 0.01, 'neuron': 32, 'optimizer': 'adam'};95.74%;92.86%;99.10%;95.88%
RandomOverSampler;{'batch_size': 16, 'bilstm_neuron': 128, 'dropout_rate': 0.5, 'lr': 0.01, 'neuron': 64, 'optimizer': 'adam'};95.02%;91.72%;98.96%;95.20%
RandomOverSampler;{'batch_size': 16, 'bilstm_neuron': 128, 'dropout_rate': 0.5, 'lr': 0.01, 'neuron': 128, 'optimizer': 'adam'};95.64%;93.82%;97.71%;95.73%
RandomOverSampler;{'batch_size': 16, 'bilstm_neuron': 128, 'dropout_rate': 0.5, 'lr': 0.001, 'neuron': 32, 'optimizer': 'adam'};96.75%;93.95%;99.93%;96.85%
RandomOverSampler;{'batch_size': 16, 'bilstm_neuron': 128, 'dropout_rate': 0.5, 'lr': 0.001, 'neuron': 64, 'optimizer': 'adam'};96.85%;94.42%;99.58%;96.93%
RandomOverSampler;{'batch_size': 16, 'bilstm_neuron': 128, 'dropout_rate': 0.5, 'lr': 0.001, 'neuron': 128, 'optimizer': 'adam'};96.54%;93.81%;99.65%;96.64%
RandomOverSampler;{'batch_size': 16, 'bilstm_neuron': 128, 'dropout_rate': 0.5, 'lr': 0.0001, 'neuron': 32, 'optimizer': 'adam'};96.02%;93.01%;99.52%;96.15%
RandomOverSampler;{'batch_size': 16, 'bilstm_neuron': 128, 'dropout_rate': 0.5, 'lr': 0.0001, 'neuron': 64, 'optimizer': 'adam'};95.60%;92.24%;99.58%;95.77%
RandomOverSampler;{'batch_size': 16, 'bilstm_neuron': 128, 'dropout_rate': 0.5, 'lr': 0.0001, 'neuron': 128, 'optimizer': 'adam'};95.57%;92.13%;99.65%;95.74%
RandomOverSampler;{'batch_size': 32, 'bilstm_neuron': 32, 'dropout_rate': 0.1, 'lr': 0.01, 'neuron': 32, 'optimizer': 'adam'};95.15%;91.79%;99.17%;95.34%
RandomOverSampler;{'batch_size': 32, 'bilstm_neuron': 32, 'dropout_rate': 0.1, 'lr': 0.01, 'neuron': 64, 'optimizer': 'adam'};96.43%;93.45%;99.86%;96.55%
RandomOverSampler;{'batch_size': 32, 'bilstm_neuron': 32, 'dropout_rate': 0.1, 'lr': 0.01, 'neuron': 128, 'optimizer': 'adam'};95.15%;91.32%;99.79%;95.37%
